PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
2275,Lille,Herentalsesteenweg,30,51.2248883771,4.83306057705
2275,Lille,Veldstraat,11,51.2392454325,4.81704160615
2275,Lille,Beukenlaan,16,51.2290336761,4.81640397304
2275,Lille,Wechelsebaan,27,51.2436903164,4.82109876231
2275,Lille,Herentalsesteenweg,83,51.2216969977,4.83005505736
2275,Lille,Neerzand,7,51.2176768985,4.82776285966
2275,Lille,Brulens,20,51.2651959347,4.85951062357
2275,Lille,Beersebaan,41,51.270066508,4.86664111168
2275,Lille,Turnhoutsebaan,74,51.2781835085,4.88755930552
2275,Lille,Sneeuwkloklaan,4,51.2743305412,4.8703985229
2275,Lille,Gierlebaan,6,51.2419770889,4.82381938054
2275,Lille,Zielestraat,9,51.2237229255,4.84242805586
2275,Lille,Fazantestraat,30,51.2461004792,4.82646675447
2275,Lille,Turnhoutsebaan,21,51.2735505792,4.88016174001
2275,Lille,Wagemansstraat,26,51.2601685091,4.79119903881
2275,Lille,Peerdskerkhofstraat,19,51.2399849869,4.82706973828
2275,Lille,Meikloklaan,32,51.2754539849,4.87038112019
2275,Lille,Tielenbaan,102,51.2359870402,4.83980506054
2275,Lille,Broekzijstraat,43,51.2344360892,4.80456895945
2275,Lille,Rolleken,10,51.2634055795,4.83483115183
2275,Lille,Akkerpad,19,51.2685579128,4.78378893463
2275,Lille,Rechtestraat,41,51.239910779,4.82322210373
2275,Lille,Schoorstraat,38,51.279760503,4.87713538467
2275,Lille,Het Ven,10,51.2615782125,4.86665871485
2275,Lille,Eekhoornweg,22,51.2751323137,4.79085350036
2275,Lille,S. Daneelsstraat,10,51.2717922805,4.86768613265
2275,Lille,Moleneind,16,51.2338362542,4.82390100068
2275,Lille,Zagerijstraat,45,51.232676886,4.81865473643
2275,Lille,Hoeksken,37,51.2422488517,4.82636786671
2275,Lille,Nachtegalenstraat,27,51.2500169638,4.8203627958
2275,Lille,Bremstraat,16,51.2702391716,4.7922036938
2275,Lille,Vennestraat,63,51.2642893423,4.87195560473
2275,Lille,Valvekenstraat,52,51.2534616673,4.82402324362
2275,Lille,Steenrijen,3,51.2457960726,4.83841136912
2275,Lille,Kerkepad,24,51.2659162352,4.78422325998
2275,Lille,Wagemansstraat,79,51.2566052444,4.79656758058
2275,Lille,Elskoten,5,51.2326350587,4.84034124847
2275,Lille,Lichtaartsesteenweg,78,51.2199971198,4.84275285063
2275,Lille,Kosterstraat,44,51.2671268253,4.8764292126
2275,Lille,Vennestraat,10,51.2664392494,4.8684260468
2275,Lille,Dalenbergstraat,5,51.2668423611,4.79431058966
2275,Lille,Pastorijstraat,25,51.2663774647,4.79042946084
2275,Lille,Houtakkerstraat,23,51.2709020508,4.8648287009
2275,Lille,Kan. J. Peetersstraat,15,51.2682097207,4.87202251674
2275,Lille,Beukenlaan,34,51.2283938058,4.81158297357
2275,Lille,Heikant,104,51.2284569041,4.82371211505
2275,Lille,Lichtaartsesteenweg,25,51.2252187677,4.83709608993
2275,Lille,Zittaart,17,51.2187223495,4.8199073798
2275,Lille,Pulsebaan,47,51.2600290198,4.78478767032
2275,Lille,De Nefstraat,2,51.26825354,4.86787828479
2275,Lille,Rooien,7,51.2786665712,4.88599426139
2275,Lille,Nieuwstraat,23,51.262511272,4.79259621606
2275,Lille,Moereind,92,51.2559194254,4.78697976861
2275,Lille,Heerle,59,51.2176056082,4.87036222862
2275,Lille,Zittaart,3,51.2227354993,4.81094270066
2275,Lille,Karredongen,2,51.2628004095,4.82496807451
2275,Lille,Moleneind,34,51.2322821893,4.82572697595
2275,Lille,Zand,4,51.269623242,4.79965147861
2275,Lille,Baan,26,51.2320244121,4.83499038961
2275,Lille,Kabienstraat,59,51.2419869054,4.82126435477
2275,Lille,Vondelweg,4,51.2634248464,4.8680107167
2275,Lille,Kauwenberg,23,51.2578528746,4.82421004133
